Обява от:,Location,Вид на имота:,Квадратура:,Вид строителство:,Година на строителство:,Степен на завършеност:,Номер на етажа:,Етаж:,Асансьор,price,До ключ,Обзаведен,ТЕЦ,Портиер/Охрана,Газифициран,Локално отопление,Необзаведен,Панорама планина,Саниран,Гараж/Паркомясто,След ремонт,Замяна/Бартер,Лизинг,Камина,Ипотекиран
http://koevski.alo.bg,"Хаджи Димитър, град София, област  София, (Виж Хаджи Димитър на картата)
",Тристаен апартамент,99 кв.м,Тухла,2022 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,1.0,150000,,,,,,,,,,,,,,,
,"Оборище, град София, област  София, (Виж Оборище на картата)
",Двустаен апартамент,75 кв.м,Тухла,2007 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,1.0,150000,1.0,1.0,1.0,,,,,,,,,,,,
,"Витоша, град София, област  София
			",Двустаен апартамент,73 кв.м,Тухла,,Готов (завършен),6 етаж,Непоследен,1.0,139000,1.0,1.0,,1.0,,,,,,,,,,,
,"Овча Купел, град София, област  София, (Виж Овча Купел на картата)
",Двустаен апартамент,70 кв.м,Тухла,,Готов (завършен),10 етаж,Последен етаж,,97000,,,,,1.0,,,,,,,,,,
,"Люлин 5, град София, област  София
			",Тристаен апартамент,88 кв.м,ЕПК/ПК,1991 г. (годината може да е ориентировъчна),Готов (завършен),11 етаж,Непоследен,,98500,,,1.0,,,,,,,,,,,,
http://suprimmo.alo.bg,"Горна Баня, град София, област  София
			",Многостаен апартамент,214.28 кв.м,Тухла,,,6 етаж,,1.0,385704,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
,"Манастирски Ливади, град София, област  София, (Виж Манастирски Ливади на картата)
",Двустаен апартамент,51 кв.м,Тухла,2015 г. (годината може да е ориентировъчна),Готов (завършен),5 етаж,Непоследен,1.0,102000,1.0,1.0,,,1.0,,,,1.0,,,,,,
http://euroconsult.alo.bg,"Иван Вазов, град София, област  София
			",Тристаен апартамент,107 кв.м,Тухла,1970 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,1.0,219900,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,
http://galeriahomes.alo.bg,"Малинова Долина, град София, област  София, (Виж Малинова Долина на картата)
",Едностаен апартамент,50 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),Готов (завършен),2 етаж,Непоследен,1.0,63000,,,,1.0,1.0,,,1.0,1.0,,,,,,
,"Яворов, град София, област  София, (Виж Яворов на картата)
",Тристаен апартамент,100 кв.м,Тухла,1960 г. (годината може да е ориентировъчна),Готов (завършен),3 етаж,Последен етаж,,214000,,,1.0,,,1.0,,,,,,,,,
,"Малинова Долина, град София, област  София, (Виж Малинова Долина на картата)
",Двустаен апартамент,63 кв.м,Тухла,2021 г. (годината може да е ориентировъчна),В строеж,5 етаж,Непоследен,1.0,81900,,,,,1.0,,,,,,,,,,
